gmuUnitSubTxt,gmuUnitSubLbl,gmuSubMajor,gmuSubMinor,gmuUCU,gmuSTReg3subTxt,gmuSTReg3subLbl,gmuSTReg3submajor,gmuSTReg3subminor,gmuSTReg3UCU,gmuSTReg1UCU
19E ,19E ,19EW00,19EW0004,19EW000402,19E,19E,19EW00,19EW0004,19EW000402,01CX230702
,,19EW02,19EW0209,19EW000403,,,19EW02,19EW0209,19EW000403,
,,19EW03,19EW0210,19EW000404,,,19EW03,19EW0210,19EW000404,
,,19EW04,19EW0211,19EW000405,,,19EW04,19EW0211,19EW000405,
,,,19EW0312,19EW020901,,,,19EW0312,19EW020901,
,,,19EW0413,19EW021001,,,,19EW0413,19EW021001,
,,,19EW0414,19EW021101,,,,19EW0414,19EW021101,
,,,19EW0415,19EW031201,,,,19EW0415,19EW031201,
,,,,19EW041301,,,,,19EW041301,
,,,,19EW041401,,,,,19EW041401,
,,,,19EW041501,,,,,19EW041501,
,,,,01CX230702,,,,,,
